location_identifier,location_target_encoded
Bilal Gunj - Lahore,14000000.0
Taj Bagh Scheme - Lahore,11797500.0
Gohawa - Lahore,4175000.0
Rehmanpura (Ferozpur Road) - Lahore,12923529.411764706
Shadipura - Lahore,5000000.0
Swami Nagar - Lahore,13833333.333333334
Baghbanpura - Lahore,7614615.384615385
Nasheman-e-Iqbal - Lahore,17188750.0
Lake City - Lahore,16901096.153846152
AWT Army Welfare Trust - Lahore,12169230.76923077
Shadbagh - Lahore,12558035.714285716
Peoples Colony No 2 - Faisalabad,14629629.629629629
Hilal Road - Faisalabad,7283333.333333333
Yousaf Town - Faisalabad,7500000.0
Jail Road - Faisalabad,12625000.0
Gulbahar Colony - Faisalabad,15250000.0
Lasani Town - Faisalabad,17200000.0
Shahzad Colony - Faisalabad,19230000.0
Narwala Road - Faisalabad,6320833.333333333
204 Chak Road - Faisalabad,11628571.42857143
Mansoorabad - Faisalabad,6364000.0
Shah Faisal Town - Karachi,7861250.0
Falaknaz Presidency - Karachi,8515294.11764706
Bin Qasim Town - Karachi,8641353.383458646
Nemat Colony No 1 - Faisalabad,5733333.333333333
Gulshan e Madina - Faisalabad,15333333.333333334
Gulistan Colony No 1 - Faisalabad,13062500.0
Shalimar Park - Faisalabad,4518500.0
Eden Orchard - Faisalabad,9859090.909090908
Eden Gardens - Faisalabad,11457894.736842103
Lalazar - Rawalpindi,13724444.444444444
Ali Town - Rawalpindi,7087500.0
Saddar - Rawalpindi,14416666.666666666
Tulsa Road - Rawalpindi,13344915.254237289
Harley Street - Rawalpindi,16737500.0
Fazal Town - Rawalpindi,10857142.857142856
Chakra - Rawalpindi,4114285.714285714
Eden Villas - Lahore,4890909.090909091
Sui Gas Housing Society - Lahore,37523913.04347826
Misri Shah - Lahore,11666666.666666666
Thokar Niaz Baig - Lahore,5894375.0
Lahore Medical Housing Society - Lahore,10442647.05882353
UBL Housing Society - Lahore,13000000.0
Salli Town - Lahore,12800000.0
PIA Main Boulevard - Lahore,15750000.0
Nishtar Colony - Lahore,5795953.488372093
Bhatta Chowk - Lahore,7425000.0
Madina Colony - Lahore,8147058.823529412
Highcourt Society - Lahore,11581250.0
Ravi Park - Lahore,12633333.333333334
Zaman Colony - Lahore,15755555.555555556
Raiwind Road - Lahore,9606346.534653466
Gulberg Town - Karachi,10351521.739130436
Super Highway - Karachi,11988888.888888888
Khalid Bin Walid Road - Karachi,26376404.494382024
H-13 - Islamabad,7443071.0382513665
I-11 - Islamabad,6626923.076923077
Islamabad Expressway - Islamabad,7823526.315789473
Khayaban Colony - Faisalabad,9540000.0
Nisar Colony - Faisalabad,8085416.666666667
Nawaban Wala - Faisalabad,6150000.0
Manawala - Faisalabad,5297058.823529412
Others - Faisalabad,6606578.947368421
Nazimabad - Faisalabad,8660000.0
Muslim Town - Rawalpindi,10069565.217391305
Qasimabad - Rawalpindi,8325000.0
Palm City - Rawalpindi,5772222.222222222
Central Park Housing Scheme - Lahore,13054629.629629629
Mohafiz Town - Lahore,18909090.90909091
Awan Town - Lahore,12820588.23529412
Shadab Garden - Lahore,8006644.444444444
Al Rahim Homes - Lahore,14750000.0
Chauburji Chowk - Lahore,18225000.0
Islamia Park - Lahore,11533333.333333334
Abdalians Cooperative Housing Society - Lahore,29685714.285714287
Sunny Park - Lahore,16433333.333333334
Fort Villas - Lahore,20966666.666666668
Izmir Town - Lahore,21116176.47058824
PIA Housing Scheme - Lahore,23781438.848920863
Azam Town - Karachi,8211538.461538462
Korangi - Karachi,6395851.272015655
Shaheed Millat Road - Karachi,25710227.272727277
Bath Island - Karachi,32158536.58536585
Saima Luxury Homes - Karachi,11123333.333333334
G-14 - Islamabad,17941379.310344826
Shah Allah Ditta - Islamabad,17406666.666666668
Shahbaz Town - Faisalabad,8665000.0
Kaleem Shaheed Colony No 1 - Faisalabad,6520000.0
Garden Colony - Faisalabad,10333333.333333334
Dhok Sayedan Road - Rawalpindi,4947826.0869565215
Dhoke Khabba - Rawalpindi,5125000.0
Dream Avenue Lahore - Lahore,8976388.888888888
Mehar Fayaz Colony - Lahore,7533333.333333333
Al-Amin Housing Society - Lahore,10800000.0
Upper Mall - Lahore,29400000.0
Defence Road - Lahore,12516616.16161616
Dharampura - Lahore,12335714.285714284
Hassan Town - Lahore,9128571.42857143
Lalazaar Garden - Lahore,7024251.497005988
Eden Place Housing Scheme - Lahore,14333333.333333334
Sukh Chayn Gardens - Lahore,21281481.48148148
BOR - Board of Revenue Housing Society - Lahore,14510126.58227848
Afzal Park - Lahore,7150000.0
Naz Town - Lahore,6550000.0
Rabia City - Karachi,3650000.0
M. A. Jinnah Road - Karachi,9345833.333333334
Mehmoodabad - Karachi,5154870.12987013
Naval Anchorage - Islamabad,18945945.945945945
Margalla Town - Islamabad,19464285.714285716
Tarnol - Islamabad,7566666.666666667
H-15 - Islamabad,5933333.333333333
G-8 - Islamabad,22918965.51724138
D-13 - Islamabad,6900000.0
Ali Garden - Faisalabad,4600000.0
Gulberg - Faisalabad,19750000.0
Range Road - Rawalpindi,11031250.0
Dhok Paracha - Rawalpindi,14687500.0
DAV College Road - Rawalpindi,8733333.333333334
Green Town - Lahore,6026923.076923077
Jewa Town - Lahore,2000000.0
Ahbab Colony - Lahore,7375000.0
Shahkam Chowk - Lahore,8248750.0
Walled City - Lahore,11696875.0
Asif Colony - Lahore,6000000.0
Outfall Road - Lahore,13187500.0
Bagarian - Lahore,4078125.0
Rufi Rose Petals - Karachi,12166666.666666666
Punjab Chowrangi - Karachi,8775000.0
CBR Town - Islamabad,16762886.597938145
Meherban Colony - Islamabad,11583333.333333334
Zaraj Housing Scheme - Islamabad,14454838.70967742
Multi Residencia & Orchards - Islamabad,8233333.333333333
Capital Enclave - Islamabad,13520000.0
Kareem City - Faisalabad,6300000.0
Peoples Colony No 1 - Faisalabad,20917647.05882353
Madina Town - Faisalabad,18962222.222222224
Gulshan-e-Hayat - Faisalabad,27300000.0
Zia Colony - Faisalabad,30000000.0
Sheikh Colony - Faisalabad,14790000.0
Dhok Kashmirian - Rawalpindi,12166666.666666666
Askari 15 - Rawalpindi,16666666.666666666
Airport Road - Rawalpindi,9492857.142857144
Asghar Mall Road - Rawalpindi,10400000.0
Jinnah Colony - Lahore,5357142.857142857
Sajid Garden - Lahore,10650000.0
Salamatpura - Lahore,5951851.851851852
Sham Nagar - Lahore,13750000.0
River View Coop Housing Society - Lahore,24500000.0
Bahar Shah Road - Lahore,8500000.0
Ring Road - Lahore,6630769.230769231
Rehan Garden - Lahore,6165000.0
Khaliq-uz-Zaman Road - Karachi,24875000.0
Orangi Town - Karachi,4258823.529411765
Suparco Road - Karachi,7520000.0
Gulshan-e-Areesha - Karachi,14166666.666666666
University Road - Karachi,8678288.288288288
Jhangi Syedan - Islamabad,5606000.0
I-8 - Islamabad,25892857.14285714
Taramrri - Islamabad,5882476.19047619
E-16 - Islamabad,14300000.0
Khanna Pul - Islamabad,6245238.095238095
Islamabad - Murree Expressway - Islamabad,8437500.0
Jameel Town - Faisalabad,6500000.0
Green Town - Faisalabad,7274137.931034483
Khayaban Colony 2 - Faisalabad,13429411.76470588
Canal Road - Faisalabad,15671545.454545457
Gulfishan Colony - Faisalabad,12642857.142857144
Dhudi Wala - Faisalabad,8260000.0
Canal Park - Faisalabad,28500000.0
Bostan Road - Rawalpindi,6450000.0
Morgah - Rawalpindi,9278947.368421054
Lalkurti - Rawalpindi,22666666.666666668
Mohammadi Colony - Rawalpindi,8500000.0
Tench Bhata - Rawalpindi,7050000.0
High Court Road - Rawalpindi,11866666.666666666
Ittifaq Town - Lahore,11006250.0
Shalimar Town - Lahore,7398000.0
Al Hafeez Gardens - Lahore,7144444.444444444
Canal Bank Housing Scheme - Lahore,12796456.692913383
Kashmir Road - Karachi,21928571.42857143
Dastgir Colony - Karachi,10055172.413793104
Defence Garden - Karachi,19500000.0
PAEC Employees Cooperative Housing Society - Islamabad,8333333.333333333
Jhang Road - Faisalabad,7600000.0
Citi Housing Society - Faisalabad,10465000.0
Islamabad Highway - Rawalpindi,6366923.076923077
Sangar Town - Rawalpindi,8320000.0
Murree Road - Rawalpindi,12071428.57142857
Bahria Orchard - Lahore,18665910.97308489
Shershah Colony - Ichra - Lahore,6433000.0
Al-Hamd Garden - Lahore,4400000.0
Audit & Accounts Housing Society - Lahore,13010526.315789474
Aabpara Coop Housing Society - Lahore,13400000.0
Beacon House Society - Lahore,16875000.0
Khayaban-e-Quaid - Lahore,7476923.076923077
Manawan - Lahore,5159255.319148936
Bhagatpura - Lahore,7142857.142857143
PCSIR Staff Colony - Lahore,18658823.529411763
Sindh Industrial Trading Estate (SITE) - Karachi,8453846.153846154
Britto Road - Karachi,10200000.0
Rashid Minhas Road - Karachi,12884782.608695652
E-18 - Islamabad,10240000.0
Chak 208 Road - Faisalabad,14900000.0
Dhamyal Road - Rawalpindi,5914102.564102564
Sadiqa Abad - Rawalpindi,8834615.384615384
Samarzar Housing Society - Rawalpindi,4698979.591836735
Canal Burg - Lahore,15000000.0
Azam Gardens - Lahore,16389473.684210526
Daroghewala - Lahore,6352205.882352941
Tajpura - Lahore,5798581.560283688
Chohan Road - Lahore,10416666.666666666
Garhi Shahu - Lahore,10861111.111111112
Wassanpura - Lahore,13453333.333333334
Ghous Garden - Lahore,5275000.0
Kacha Jail Road - Lahore,5762500.0
Sanda - Lahore,9270967.741935484
Revenue Society - Lahore,21961290.322580647
Malir Link To Super Highway - Karachi,13462244.897959184
KDA Scheme 1 - Karachi,27771428.57142857
Golra Mor - Islamabad,8850000.0
Shahpur - Islamabad,8000000.0
Jhumra Road - Faisalabad,4306250.0
Amin Town - Faisalabad,13883333.333333334
Ayub Colony - Rawalpindi,10275000.0
Chakra Road - Rawalpindi,4570731.707317073
Al-Haram City - Phase 2 - Rawalpindi,3900000.0
Caltex Road - Rawalpindi,11841666.666666666
Amer Pura - Rawalpindi,10400000.0
Kartar Pura - Rawalpindi,9660000.0
Peer Meher Ali Shah Town - Rawalpindi,5175000.0
New Shah Kamal Colony - Lahore,9500000.0
Dogech - Lahore,5550000.0
Muslim Town - Lahore,12952500.0
Rehman Gardens - Lahore,9800000.0
Saadi Road - Karachi,10330000.0
Jamshed Road - Karachi,9614563.106796116
Landhi - Karachi,6102380.952380952
Motorway Chowk - Islamabad,7962500.0
Spring Valley - Islamabad,8066666.666666667
GT Road - Islamabad,4654687.5
National Police Foundation - Islamabad,13900000.0
Gulshan-e-Khudadad - Islamabad,8550000.0
H-12 - Islamabad,5599000.0
River Garden - Islamabad,6018469.387755103
Kacha Ferozepur Road - Lahore,16928571.42857143
Band Road - Lahore,5757368.421052632
New Chauburji Park - Lahore,22909090.90909091
Ryaz ul Jannah - Faisalabad,3500000.0
Lalazar - Faisalabad,4000000.0
Suhail Abad - Faisalabad,4450000.0
Safari View Residencia - Rawalpindi,4966666.666666667
Liaquat Colony - Rawalpindi,4000000.0
Army Officers Colony - Rawalpindi,12783333.333333334
Kurri Road - Rawalpindi,7785714.285714285
Punjab Govt Servant Society - Lahore,10746875.0
Gulshan-e-Amin - Karachi,7700000.0
Manghopir Road - Karachi,6422222.222222222
Chak Shahzad - Islamabad,10885714.285714284
PWD Road - Islamabad,6486842.105263158
Zaheer Villas - Lahore,7817391.304347826
Bhogiwal Road - Lahore,7888888.888888889
Omega Homes - Lahore,3588139.534883721
Al Jalil Garden - Lahore,6938888.888888889
Gajju Matah - Lahore,6461538.461538462
Rizwan Garden Scheme - Lahore,8700000.0
D Type Colony - Faisalabad,7866666.666666667
Gulgasht Colony - Faisalabad,3800000.0
Kahuta - Rawalpindi,3575000.0
Pindora - Rawalpindi,19400000.0
Allama Iqbal Colony - Rawalpindi,4170000.0
KRL Road - Rawalpindi,9791666.666666666
Aslam Shaheed Road - Rawalpindi,17250000.0
Peco Road - Lahore,8290909.090909091
Begampura - Lahore,9366666.666666666
Mohlanwal - Lahore,6800000.0
Nishtar Road (Lawrence Road) - Karachi,4285714.285714285
G-12 - Islamabad,8000000.0
Shah Jamal - Lahore,15703030.303030305
Gul Kali - Lahore,12750000.0
Raj Garh - Lahore,12016666.666666666
Eden Avenue Extension - Lahore,19411764.70588235
Habib Homes - Lahore,10592307.692307692
Lahore Canal Bank Cooperative Housing Society - Lahore,14900000.0
Riwaz Garden - Lahore,11254545.454545457
Manga Mandi - Lahore,6582500.0
Formanites Housing Scheme - Lahore,10411428.57142857
Gatwala Chowk - Faisalabad,5150000.0
Four Season Housing - Faisalabad,7743750.0
Valencia Gardens - Faisalabad,6750000.0
Allama Iqbal Colony - Faisalabad,4320000.0
Quaid-e-Azam Colony - Rawalpindi,4705555.555555556
Allahabad Road - Rawalpindi,8553846.153846154
Rawat - Rawalpindi,6516666.666666667
Cricket Stadium Road - Rawalpindi,9500000.0
National Highway - Karachi,6522222.222222222
Maqboolabad Society - Karachi,20000000.0
Faisal Town - F-18 - Islamabad,13805961.538461538
Al Huda Town - Islamabad,4028333.3333333335
I-13 - Islamabad,7920000.0
Sally Town South - Lahore,6500000.0
