location_identifier,location_target_encoded
Bagh Sardaran - Rawalpindi,13000000.0
Allama Iqbal Town - Karachi,17000000.0
Tarogill - Lahore,2800000.0
Ayub National Park - Rawalpindi,19000000.0
"Rawalpindi, Punjab - Rawalpindi",10350000.0
Rehman Housing Society - Lahore,10500000.0
D Ground - Faisalabad,17550000.0
Al Jameel Housing Scheme - Faisalabad,5000000.0
Airport Avenue Housing Society - Islamabad,8850000.0
Divine Homes - Lahore,17600000.0
Malik Colony - Rawalpindi,2250000.0
Mall Road - Rawalpindi,6400000.0
Officer Colony - Lahore,10400000.0
Mohan Pura - Rawalpindi,13000000.0
Heir - Lahore,2500000.0
Kahuta Road - Islamabad,4200000.0
Saadat Avenue - Lahore,9500000.0
Rehman Pura - Faisalabad,5000000.0
Irrigation Cooperative Housing Society - Lahore,23000000.0
Pakistan Intelligence Bureau Housing Society - Islamabad,10250000.0
Marir Hassan - Rawalpindi,4500000.0
Bagh-e-Korangi - Karachi,8423076.923076924
Gujjar Colony - Lahore,6000000.0
Mominpur - Lahore,7250000.0
Defence Garden - Lahore,15000000.0
Gulistan-e-Malir - Karachi,5750000.0
12th Avenue - Islamabad,30000000.0
Bethsaida Colony - Rawalpindi,19500000.0
Dhok Babu Irfan - Rawalpindi,7800000.0
Beadon Road - Lahore,6272000.0
Jarahi - Rawalpindi,5250000.0
Nabha Road - Lahore,18500000.0
Shahra-e-Jahangir - Karachi,8000000.0
Lahore Villas - Lahore,2600000.0
Ali Abad - Rawalpindi,4500000.0
Rehman Park - Lahore,6500000.0
Chak 209 RB Akalgarh - Faisalabad,2300000.0
Ahlu Road - Lahore,3000000.0
D-18 - Islamabad,30750000.0
Ahmed Town - Islamabad,8000000.0
G-5 - Islamabad,37500000.0
Dhok Elahi Baksh - Rawalpindi,13500000.0
Embassy Road - Islamabad,9000000.0
Javed Bahria Coopretive Housing Society - Karachi,25000000.0
Infantry Road - Lahore,11000000.0
Erum Villas - Karachi,5000000.0
Muqaddas Park - Lahore,19000000.0
Diglus Pura - Faisalabad,12000000.0
Mian Aziz Garden - Lahore,5750000.0
Chauburji - Lahore,25250000.0
Catholic Colony - Karachi,11500000.0
Farid Court Road - Lahore,1200000.0
Shahra-e-Qaideen - Karachi,20000000.0
Raja Park - Faisalabad,1200000.0
Hudiara - Lahore,22500000.0
Mohni Road - Lahore,11000000.0
Gulshan-e-Rehman - Faisalabad,7200000.0
Rehman Gardens - Faisalabad,30000000.0
Liaquatabad - Lahore,3500000.0
Humaira Town - Karachi,9500000.0
Korang Road - Islamabad,10000000.0
Abdullah Town - Lahore,3000000.0
Model Town Humak - Rawalpindi,10000000.0
Amil Colony - Karachi,21600000.0
Katar Bund Road - Lahore,6375000.0
Kohinoor City - Faisalabad,3500000.0
Al Fayaz Colony - Faisalabad,6500000.0
Al-Raziq Garden - Lahore,5000000.0
Al-Jadeed Residency - Karachi,5675000.0
F-7 - Islamabad,400000.0
Gulshan View Residence Society - Lahore,11166666.666666666
Sitara Supreme City - Faisalabad,11500000.0
Airline Avenue - Islamabad,13500000.0
Bahria Education & Medical City - Lahore,1425000.0
Tulspura - Lahore,7000000.0
Sunflower Housing Society - Lahore,27250000.0
Bhatti Colony - Lahore,5660000.0
Doctors Housing Society - Rawalpindi,21500000.0
Sadaat Town - Lahore,12750000.0
Rewaz Garden - Lahore,7000000.0
Lower Canal Road - Faisalabad,20000000.0
FDA City - Faisalabad,5600000.0
Askari 5 - Rawalpindi,25000000.0
Shuja Road - Lahore,6750000.0
New Samanabad - Lahore,3000000.0
Bankers Town - Lahore,14538461.538461538
Gulzar E Ahbab Society - Lahore,8500000.0
Harchan Pura - Faisalabad,11000000.0
Hassan Goth - Karachi,1777777.7777777778
Haji Chowk - Rawalpindi,11100000.0
Jamaluddin Afghani Road - Karachi,15000000.0
Gulshan-e-Zaheer Colony - Rawalpindi,5700000.0
Gulnishan Park - Lahore,7500000.0
Al Barkat Villas - Faisalabad,9500000.0
Others - Lahore,2200000.0
Model Town - Islamabad,12500000.0
Karachi Golf City - Karachi,4950000.0
Begum Kot - Lahore,7500000.0
Tulsa - Rawalpindi,2500000.0
Akalgarh - Rawalpindi,7175000.0
Qamar Garden - Faisalabad,16500000.0
Others - Karachi,23000000.0
Niamuana Bypass Road - Faisalabad,3600000.0
Mangopir - Karachi,5250000.0
Motorway City - Faisalabad,5200000.0
Lalazar 2 - Rawalpindi,6000000.0
Al-Hafeez Garden Road - Lahore,7000000.0
Mateen Garden - Lahore,15000000.0
Sultan Colony - Lahore,25000000.0
Defence Fort - Lahore,8500000.0
Sihala Valley - Islamabad,3700000.0
Capital Awami Villas - Rawalpindi,2800000.0
Bokra Road - Islamabad,13000000.0
Shahra-e-Liaquat - Karachi,7500000.0
